1-31,CP3,C3,F5,PO3,PO4,F6,C4,CP4,Marker
18.0,-6407.0595703125,732.5112915039062,-2301.067138671875,-472.7393493652344,-156.23867797851562,-381.0077819824219,29077.693359375,-30866.2578125,0
20.0,-6457.01611328125,-5218.77392578125,-6589.583984375,-1040.2276611328125,-926.9043579101562,-4326.87255859375,28118.0,-30874.23828125,0
21.0,-6370.24658203125,-928.1784057617188,-3427.93017578125,-146.38156127929688,96.76068878173828,-1312.6060791015625,29212.2734375,-30856.06640625,0
22.0,-6387.6806640625,1393.9439697265625,-1776.3599853515625,-238.8507080078125,89.25050354003906,84.82485961914062,29320.8359375,-30864.111328125,0
23.0,-6480.4853515625,-2651.2294921875,-4817.78369140625,-1194.8570556640625,-975.9888305664062,-2681.13623046875,28239.16796875,-30887.447265625,0
24.0,-6475.32177734375,-5580.80517578125,-6858.4755859375,-1280.3524169921875,-1170.851318359375,-4613.33251953125,27925.349609375,-30878.328125,0
25.0,-6384.2607421875,-2319.842529296875,-4438.318359375,-365.5180358886719,-159.52438354492188,-2245.14306640625,28936.9453125,-30853.78515625,0
26.0,-6359.919921875,1465.0225830078125,-1677.989990234375,-103.39915466308594,226.37844848632812,203.04322814941406,29470.435546875,-30846.87890625,0
27.0,-6448.36572265625,-1288.533203125,-3800.891357421875,-981.7555541992188,-719.5696411132812,-1752.4212646484375,28548.62890625,-30868.134765625,0
28.0,-6482.228515625,-5383.6630859375,-6745.0849609375,-1399.040283203125,-1275.9268798828125,-4535.81640625,27860.775390625,-30874.70703125,0
29.0,-6404.4443359375,-3636.00244140625,-5413.435546875,-614.829345703125,-457.5848693847656,-3196.9248046875,28625.47265625,-30853.919921875,0
30.0,-6354.5556640625,1002.6767578125,-2036.1319580078125,15.221536636352539,315.6960144042969,-110.03762817382812,29478.080078125,-30856.9375,0
31.0,-6427.51171875,-9.723008155822754,-2877.00439453125,-669.2111206054688,-382.4830017089844,-931.5311889648438,28848.5,-30883.021484375,0
0.0,-6490.4091796875,-4719.9501953125,-6291.7919921875,-1413.4571533203125,-1278.4749755859375,-4106.8642578125,27893.56640625,-30893.818359375,0
1.0,-6427.6455078125,-4699.5654296875,-6185.576171875,-900.8198852539062,-785.4849243164062,-3967.590576171875,28309.77734375,-30866.927734375,0
2.0,-6342.41845703125,50.35847473144531,-2714.3955078125,-57.1981086730957,208.94407653808594,-696.837890625,29372.1328125,-30842.720703125,0
3.0,-6385.40087890625,957.8168334960938,-2111.099609375,-421.0397644042969,-105.0755386352539,-237.17433166503906,29146.42578125,-30856.400390625,0
4.0,-6475.12060546875,-3647.80419921875,-5536.41455078125,-1285.985107421875,-1096.822265625,-3407.075927734375,28045.646484375,-30885.033203125,0
5.0,-6453.32763671875,-5376.0185546875,-6675.61572265625,-1139.5364990234375,-1027.218994140625,-4474.86328125,28045.37890625,-30878.05859375,0
6.0,-6356.90234375,-1227.0435791015625,-3632.314453125,-224.36679077148438,16.830862045288086,-1531.2730712890625,29148.97265625,-30847.28125,0
7.0,-6361.99853515625,1458.1829833984375,-1717.552490234375,-236.10145568847656,104.47203826904297,119.42535400390625,29352.3515625,-30853.517578125,0
8.0,-6457.8876953125,-2374.69384765625,-4599.384765625,-1188.4197998046875,-951.9159545898438,-2527.1103515625,28283.759765625,-30880.40625,0
9.0,-6467.00732421875,-5571.41748046875,-6839.9013671875,-1328.2969970703125,-1217.4547119140625,-4677.03515625,27870.23046875,-30883.625,0
10.0,-6381.64599609375,-2598.524169921875,-4634.11962890625,-441.96099853515625,-247.50083923339844,-2489.22412109375,28836.361328125,-30866.927734375,0
11.0,-6357.97509765625,1429.818603515625,-1729.6224365234375,-71.34676361083984,253.6028594970703,115.87142944335938,29441.06640625,-30869.611328125,0
12.0,-6454.80322265625,-1004.4202270507812,-3613.5390625,-931.3300170898438,-666.3277587890625,-1630.917236328125,28557.880859375,-30902.400390625,0
13.0,-6499.12646484375,-5279.39208984375,-6664.7529296875,-1433.4395751953125,-1317.5010986328125,-4525.75830078125,27800.560546875,-30913.732421875,0
14.0,-6412.6923828125,-3851.786376953125,-5561.8955078125,-655.263671875,-512.5701293945312,-3416.597900390625,28523.548828125,-30875.779296875,0
15.0,-6346.173828125,886.8724365234375,-2110.42919921875,46.93865966796875,339.0312194824219,-229.12770080566406,29457.16015625,-30854.388671875,0
16.0,-6410.2783203125,275.2616882324219,-2634.53271484375,-596.5233154296875,-308.25286865234375,-765.0330810546875,28920.3828125,-30870.6171875,0
18.0,-6426.505859375,-4821.337890625,-6249.88232421875,-924.2892456054688,-806.2720336914062,-4110.21728515625,28257.20703125,-30851.572265625,0
19.0,-6343.759765625,-124.92388153076172,-2836.100830078125,-22.731721878051758,240.3929901123047,-868.6333618164062,29349.333984375,-30829.244140625,0
20.0,-6375.00732421875,1189.0233154296875,-1941.986328125,-320.9933776855469,-4.760921001434326,-147.8567657470703,29220.72265625,-30838.564453125,0
21.0,-6457.0830078125,-3323.525146484375,-5288.8466796875,-1257.888916015625,-1073.487060546875,-3248.62451171875,28121.150390625,-30856.6015625,0
22.0,-6433.41259765625,-5379.4384765625,-6676.353515625,-1124.31494140625,-1024.1343994140625,-4586.17529296875,28042.62890625,-30843.99609375,0
23.0,-6341.61376953125,-1424.722412109375,-3765.95556640625,-186.68174743652344,34.53343963623047,-1736.1268310546875,29142.46875,-30819.05078125,0
24.0,-6340.541015625,1572.042724609375,-1603.8939208984375,-166.162841796875,150.6060333251953,165.69346618652344,29435.5,-30822.537109375,0
25.0,-6432.33935546875,-1988.321533203125,-4318.82568359375,-1046.6650390625,-832.222412109375,-2365.440185546875,28391.65234375,-30844.46484375,0
26.0,-6447.8291015625,-5470.767578125,-6753.80224609375,-1321.256103515625,-1237.1689453125,-4695.47509765625,27907.78125,-30842.85546875,0
27.0,-6359.31640625,-2793.45361328125,-4769.43701171875,-437.53533935546875,-278.6815185546875,-2710.171142578125,28836.96484375,-30817.0390625,0
28.0,-6325.25244140625,1438.401611328125,-1723.1851806640625,1.0728836059570312,297.3228759765625,68.46338653564453,29524.28125,-30812.814453125,0
29.0,-6409.33984375,-611.9459838867188,-3360.94189453125,-774.353759765625,-516.1240844726562,-1475.7513427734375,28708.822265625,-30836.08203125,0
30.0,-6455.00439453125,-5048.52099609375,-6533.92822265625,-1366.7196044921875,-1261.04052734375,-4475.66796875,27883.306640625,-30848.5546875,0
31.0,-6382.24951171875,-4021.771240234375,-5702.30908203125,-702.6716918945312,-572.1151733398438,-3596.372802734375,28510.40625,-30826.6953125,0
0.0,-6314.65771484375,763.6248779296875,-2231.12841796875,55.521728515625,348.8883361816406,-351.7716979980469,29485.859375,-30809.462890625,0
1.0,-6378.6953125,534.1619262695312,-2481.5126953125,-553.2726440429688,-242.47169494628906,-649.0946044921875,29016.875,-30828.3046875,0
2.0,-6452.6572265625,-4225.8203125,-5982.60009765625,-1351.6322021484375,-1188.3526611328125,-3932.319580078125,27972.69140625,-30847.884765625,0
3.0,-6405.0478515625,-4968.52392578125,-6381.04248046875,-1022.6592407226562,-908.2630004882812,-4271.8203125,28226.96484375,-30831.388671875,0
4.0,-6319.61962890625,-382.0806884765625,-3039.412109375,-117.27958679199219,140.81597900390625,-1053.8399658203125,29329.75390625,-30808.9921875,0
5.0,-6342.21728515625,1326.754638671875,-1853.54052734375,-334.2032470703125,-10.862946510314941,-56.52755355834961,29296.96484375,-30814.4921875,0
6.0,-6434.41845703125,-3027.208251953125,-5088.28466796875,-1254.0667724609375,-1056.5892333984375,-3063.552001953125,28199.94140625,-30832.931640625,0
7.0,-6428.517578125,-5425.37109375,-6706.5283203125,-1234.8890380859375,-1138.5306396484375,-4625.40234375,28020.43359375,-30831.58984375,0
8.0,-6336.45068359375,-1715.7420654296875,-3967.389404296875,-309.191650390625,-104.2708740234375,-1917.7794189453125,29091.373046875,-30811.474609375,0
9.0,-6328.06884765625,1607.380859375,-1593.3662109375,-137.3961639404297,181.58555603027344,188.55929565429688,29471.576171875,-30815.49609375,0
10.0,-6421.00732421875,-1688.919921875,-4114.0390625,-1056.7232666015625,-826.2545166015625,-2145.633056640625,28462.931640625,-30841.71484375,0
11.0,-6448.6337890625,-5422.68896484375,-6756.7529296875,-1374.833251953125,-1278.3408203125,-4686.154296875,27887.1953125,-30853.71875,0
12.0,-6367.63134765625,-3100.432373046875,-4987.70166015625,-581.7711181640625,-418.89398193359375,-2891.22021484375,28764.345703125,-30832.595703125,0
13.0,-6322.369140625,1308.4486083984375,-1796.677734375,-62.4954719543457,246.36090087890625,25.212764739990234,29520.66015625,-30823.0078125,0
14.0,-6404.24365234375,-369.5413513183594,-3151.997802734375,-773.347900390625,-499.5614318847656,-1278.2738037109375,28767.228515625,-30847.013671875,0
15.0,-6471.701171875,-4941.634765625,-6458.2900390625,-1410.1043701171875,-1296.04345703125,-4409.3505859375,27870.69921875,-30874.640625,0
16.0,-6414.97216796875,-4286.90771484375,-5896.63525390625,-806.8084716796875,-685.9078979492188,-3808.73681640625,28430.611328125,-30860.423828125,0
17.0,-6331.42138671875,512.7042236328125,-2395.9501953125,-19.11073875427246,254.54164123535156,-499.494384765625,29460.310546875,-30825.755859375,0
18.0,-6373.7333984375,722.4530029296875,-2323.061279296875,-493.9288024902344,-198.75169372558594,-516.4593505859375,29080.376953125,-30828.70703125,0
19.0,-6449.57275390625,-4019.62548828125,-5798.6005859375,-1350.358154296875,-1203.9095458984375,-3760.188720703125,28017.88671875,-30842.85546875,0
20.0,-6415.240234375,-5135.89404296875,-6478.2724609375,-1097.828125,-1008.6447143554688,-4385.3447265625,28178.68359375,-30830.71875,0
21.0,-6334.23779296875,-666.9983520507812,-3243.1259765625,-122.64400482177734,112.9209976196289,-1276.3291015625,29291.599609375,-30815.4296875,0
22.0,-6354.1533203125,1423.4483642578125,-1779.7127685546875,-235.229736328125,82.54498291015625,-33.594669342041016,29336.2578125,-30823.677734375,0
23.0,-6446.15283203125,-2777.025146484375,-4923.12744140625,-1206.5916748046875,-1005.828369140625,-2941.57861328125,28232.1953125,-30849.896484375,0
24.0,-6449.3046875,-5486.123046875,-6790.41455078125,-1265.801513671875,-1171.7900390625,-4745.7666015625,27966.587890625,-30852.244140625,0
25.0,-6368.36865234375,-2031.63916015625,-4221.6630859375,-372.558837890625,-179.97622680664062,-2191.096435546875,29005.2734375,-30840.10546875,0
