EEG Channel 1,EEG Channel 2,EEG Channel 3,EEG Channel 4,EEG Channel 5,EEG Channel 6,EEG Channel 7,EEG Channel 8,Marker
-31994.193359375,24195.201171875,194592.984375,12657.1435546875,117296.7578125,300144.28125,-17803.095703125,-21414.689453125,0.0
-31717.79296875,25699.51953125,197747.796875,14885.455078125,119710.40625,302119.71875,-17511.271484375,-20475.24609375,0.0
-31587.705078125,26976.18359375,205540.625,17311.044921875,122641.5234375,309045.59375,-17364.5546875,-19696.869140625,0.0
-31847.275390625,25614.89453125,203181.5625,15417.0693359375,120616.5234375,308156.03125,-17631.634765625,-20543.642578125,0.0
-32005.7265625,24242.744140625,195777.59375,12879.5654296875,117579.859375,301391.125,-17819.322265625,-21405.033203125,0.0
-31809.0546875,25131.091796875,195797.09375,13953.923828125,118622.234375,300623.40625,-17599.783203125,-20822.189453125,0.0
-31565.912109375,26926.427734375,204184.90625,17133.34765625,122347.6875,307634.875,-17352.283203125,-19727.37890625,0.0
-31760.841796875,26115.060546875,204842.046875,16278.728515625,121567.5,309361.09375,-17542.787109375,-20233.4453125,0.0
-31992.181640625,24447.732421875,197590.890625,13392.5380859375,118209.9140625,303157.40625,-17808.125,-21278.232421875,0.0
-31901.255859375,24637.69921875,194605.390625,13270.6318359375,117867.59375,299763.0625,-17707.609375,-21145.798828125,0.0
-31590.521484375,26643.58984375,202118.0,16585.9765625,121669.9609375,305735.8125,-17388.08984375,-19906.953125,0.0
-31691.57421875,26550.248046875,205919.75,16889.736328125,122234.03125,309972.78125,-17470.30078125,-19960.73046875,0.0
-31962.208984375,24801.58203125,199736.59375,14015.078125,118979.84375,305187.5,-17762.794921875,-21051.65234375,0.0
-31973.541015625,24326.83203125,194355.875,12820.2880859375,117423.2890625,299757.84375,-17764.671875,-21351.1875,0.0
-31663.142578125,26156.8359375,199731.15625,15649.5498046875,120590.9140625,303731.75,-17447.970703125,-20202.935546875,0.0
-31629.94921875,26872.58203125,206145.328125,17259.947265625,122631.265625,309802.375,-17405.32421875,-19774.921875,0.0
-31899.04296875,25257.22265625,201889.0625,14750.7412109375,119856.390625,307110.65625,-17689.97265625,-20777.330078125,0.0
-32008.611328125,24216.525390625,194988.21875,12710.5859375,117347.5859375,300536.21875,-17823.078125,-21436.080078125,0.0
-31745.083984375,25576.740234375,197375.984375,14673.76171875,119455.1328125,301834.625,-17551.302734375,-20565.904296875,0.0
-31830.712890625,25745.31640625,203774.390625,15624.1357421875,120848.8046875,308623.28125,-17630.830078125,-20473.033203125,0.0
-32009.482421875,24284.85546875,196306.78125,12987.189453125,117716.3203125,301891.75,-17846.94921875,-21402.75390625,0.0
-31843.923828125,24995.439453125,195530.75,13779.6474609375,118443.6015625,300414.3125,-17667.978515625,-20948.185546875,0.0
-31579.189453125,26854.8125,203819.859375,16976.03515625,122177.640625,307289.21875,-17400.16015625,-19794.568359375,0.0
-31754.068359375,26211.08203125,205235.125,16369.6552734375,121683.3046875,309653.71875,-17561.361328125,-20197.369140625,0.0
-31992.853515625,24517.603515625,198124.125,13515.3828125,118372.0546875,303666.84375,-17836.556640625,-21269.984375,0.0
-31933.509765625,24511.166015625,194470.28125,13082.67578125,117672.6015625,299705.125,-17764.203125,-21249.197265625,0.0
-31622.841796875,26480.51171875,201509.609375,16302.33203125,121348.1640625,305225.65625,-17446.8984375,-20021.818359375,0.0
-31686.34375,26599.869140625,206001.703125,16985.55859375,122336.890625,309949.3125,-17497.994140625,-19954.427734375,0.0
-31959.2578125,24854.890625,200203.765625,14185.4658203125,119175.0390625,305611.09375,-17788.0078125,-21034.822265625,0.0
-31990.037109375,24228.9296875,194375.46875,12738.615234375,117317.0703125,299844.6875,-17828.912109375,-21427.966796875,0.0
-31687.21484375,25966.0625,199042.4375,15369.6611328125,120229.8828125,303185.5,-17518.982421875,-20340.666015625,0.0
-31618.953125,26870.771484375,205956.5,17282.009765625,122595.4609375,309571.5,-17438.046875,-19787.9296875,0.0
-31892.203125,25327.294921875,202237.421875,15044.9130859375,120149.6171875,307377.34375,-17726.853515625,-20748.697265625,0.0
-32003.916015625,24172.603515625,195128.359375,12803.7255859375,117427.046875,300702.25,-17861.634765625,-21471.6875,0.0
-31759.76953125,25379.93359375,196749.953125,14424.853515625,119127.8359375,301351.46875,-17597.638671875,-20687.408203125,0.0
