1-31,CP3,C3,F5,PO3,PO4,F6,C4,CP4,Marker
9.0,-96064.5234375,518274.9375,518756.0625,518780.59375,518626.5,518745.78125,518543.75,-83739.9765625,0
10.0,-96206.609375,519655.125,520136.25,520161.34375,520006.09375,520125.71875,519924.15625,-84535.921875,0
11.0,-97283.65625,510602.28125,511084.0,511106.59375,510954.65625,511075.34375,510868.9375,-86169.25,0
12.0,-97352.5859375,507630.53125,508112.71875,508134.65625,507983.96875,508104.34375,507896.9375,-85714.953125,0
14.0,-96019.2578125,520704.21875,521185.1875,521211.09375,521055.71875,521174.65625,520974.3125,-84105.2890625,0
15.0,-97006.515625,513155.125,513637.59375,513660.53125,513508.125,513627.65625,513423.34375,-85853.0859375,0
16.0,-97481.1328125,507099.84375,507583.59375,507604.4375,507454.90625,507575.0625,507367.1875,-86069.5390625,0
17.0,-96545.3125,513261.0,513743.125,513766.125,513613.84375,513733.96875,513529.09375,-84339.25,0
18.0,-95907.140625,520689.71875,521170.90625,521195.84375,521040.625,521159.4375,520959.15625,-83801.265625,0
20.0,-97500.171875,507572.0625,508054.71875,508075.625,507925.03125,508045.25,507837.78125,-86256.0859375,0
21.0,-96839.0078125,510731.09375,511213.34375,511235.28125,511083.78125,511203.75,510998.3125,-84796.09375,0
22.0,-95915.9296875,519666.1875,520147.25,520172.40625,520016.96875,520136.3125,519935.40625,-83655.21875,0
23.0,-96358.4921875,518243.34375,518724.53125,518749.34375,518593.90625,518713.34375,518511.71875,-84865.6328125,0
27.0,-96096.3046875,519987.1875,520468.4375,520493.46875,520338.03125,520457.1875,520256.5625,-84379.078125,0
29.0,-97357.6171875,507408.78125,507890.96875,507911.5625,507761.53125,507881.78125,507674.71875,-85785.8984375,0
30.0,-96303.4375,515284.46875,515766.0625,515789.9375,515636.5,515755.9375,515552.34375,-84031.9296875,0
31.0,-95941.0703125,520782.875,521263.71875,521289.8125,521133.5,521252.71875,521052.375,-84009.0625,0
0.0,-96891.6484375,513787.71875,514270.1875,514292.84375,514139.3125,514259.0625,514055.6875,-85730.4375,0
1.0,-97470.203125,507118.15625,507601.8125,507621.53125,507471.875,507592.09375,507385.09375,-86115.609375,0
3.0,-95877.5703125,520529.875,521011.3125,521036.59375,520880.84375,521000.25,520799.84375,-83753.25,0
4.0,-96582.390625,516438.8125,516920.625,516943.8125,516789.9375,516909.75,516707.4375,-85262.328125,0
5.0,-97459.5390625,507840.125,508323.0,508343.71875,508193.5,508313.6875,508107.09375,-86266.34375,0
6.0,-96904.7890625,510202.03125,510684.5625,510706.40625,510555.34375,510674.75,510469.5,-84949.3828125,0
7.0,-95933.6953125,519276.75,519758.65625,519782.875,519627.96875,519747.0,519546.09375,-83691.7578125,0
9.0,-97331.3984375,509451.6875,509934.59375,509955.71875,509804.375,509924.6875,509719.21875,-86243.6171875,0
10.0,-97168.8515625,508324.8125,508807.59375,508828.875,508678.59375,508798.34375,508592.21875,-85445.59375,0
11.0,-96083.8359375,517215.78125,517696.96875,517721.25,517567.78125,517687.1875,517484.5625,-83805.1484375,0
12.0,-96038.1015625,520244.8125,520725.34375,520750.0625,520595.375,520714.9375,520513.375,-84299.8828125,0
13.0,-97095.359375,511760.59375,512242.5625,512264.15625,512112.5625,512232.9375,512027.53125,-86003.9609375,0
20.0,-95828.2890625,520320.0625,520801.3125,520826.84375,520671.15625,520789.96875,520589.21875,-83700.4140625,0
21.0,-96454.3828125,517035.5625,517517.15625,517541.15625,517386.59375,517505.59375,517303.78125,-85126.609375,0
22.0,-97393.5546875,508155.09375,508638.5,508658.46875,508508.46875,508628.625,508421.625,-86253.5390625,0
23.0,-96920.28125,509704.65625,510187.875,510208.40625,510058.0,510178.0,509971.625,-85027.5,0
24.0,-95913.515625,518859.46875,519341.4375,519366.46875,519211.34375,519330.71875,519128.6875,-83660.3828125,0
27.0,-97167.9140625,508001.0625,508483.71875,508504.53125,508354.375,508474.34375,508266.9375,-85508.7578125,0
28.0,-96087.1171875,516655.875,517138.21875,517161.40625,517007.65625,517127.21875,516923.96875,-83817.0859375,0
29.0,-95937.3203125,520483.53125,520964.90625,520990.34375,520834.625,520954.0,520752.75,-84155.9140625,0
30.0,-96973.390625,512384.125,512866.1875,512888.25,512736.4375,512856.40625,512650.8125,-85888.15625,0
0.0,-96347.359375,514061.1875,514543.25,514566.3125,514414.03125,514533.375,514329.0,-84162.4921875,0
1.0,-95810.25,520792.71875,521274.1875,521299.3125,521144.03125,521263.3125,521061.875,-83828.5546875,0
2.0,-96654.203125,515071.625,515552.8125,515576.15625,515422.75,515542.84375,515338.53125,-85472.9453125,0
4.0,-96645.3515625,511453.28125,511935.125,511957.9375,511805.90625,511926.34375,511720.34375,-84597.609375,0
