1-31,CP3,C3,F5,PO3,PO4,F6,C4,CP4,Marker
17.0,-161793.390625,487464.875,487962.6875,-45624.77734375,487813.96875,487931.84375,487713.375,-145606.796875,0
18.0,-165088.625,501055.34375,501555.71875,10051.5107421875,501403.15625,501519.09375,501307.625,-149367.1875,0
19.0,-162591.75,513927.46875,514427.25,54900.39453125,514270.875,514386.125,514182.28125,-146690.6875,0
22.0,-164741.203125,495901.15625,496401.1875,-9958.572265625,496249.09375,496366.125,496152.0,-148929.046875,0
23.0,-163778.703125,512657.375,513157.21875,51723.65234375,513001.1875,513116.65625,512911.53125,-148001.546875,0
24.0,-158984.25,507240.1875,507739.28125,25395.69140625,507583.1875,507699.65625,507492.71875,-142677.5,0
25.0,-159107.09375,489903.34375,490400.8125,-39498.0078125,490250.625,490368.90625,490151.84375,-142700.5,0
27.0,-164617.15625,509493.03125,509992.53125,41075.88671875,509837.96875,509954.375,509746.03125,-148921.609375,0
28.0,-160184.8125,511190.9375,511689.625,41599.7890625,511533.1875,511649.21875,511443.8125,-144025.234375,0
29.0,-158234.96875,493626.25,494124.0625,-26374.83203125,493971.90625,494089.3125,493875.75,-141786.390625,0
30.0,-162785.015625,488527.34375,489025.5625,-40276.98828125,488875.96875,488993.78125,488776.125,-146722.734375,0
0.0,-161543.484375,513512.34375,514012.09375,52041.76171875,513855.125,513971.0625,513766.8125,-145561.671875,0
1.0,-157945.703125,498407.53125,498906.78125,-8784.1005859375,498752.28125,498869.8125,498658.59375,-141521.734375,0
2.0,-161398.03125,487354.75,487853.3125,-46422.9375,487703.1875,487821.34375,487603.34375,-145208.359375,0
3.0,-165020.03125,499760.71875,500261.21875,5096.86767578125,500107.9375,500224.8125,500012.3125,-149307.25,0
4.0,-162897.53125,513808.25,514308.28125,54914.47265625,514151.375,514267.1875,514062.0625,-147053.859375,0
5.0,-158342.796875,503575.03125,504074.125,10968.9609375,503918.875,504035.625,503826.46875,-141968.390625,0
6.0,-160018.046875,488128.03125,488625.59375,-45160.0859375,488475.25,488593.9375,488376.28125,-143695.328125,0
7.0,-164557.40625,494751.5,495251.53125,-14542.400390625,495099.25,495217.0625,495001.6875,-148740.96875,0
8.0,-163980.328125,512060.125,512560.28125,49853.81640625,512404.53125,512520.25,512314.0625,-148243.609375,0
11.0,-163652.03125,490677.8125,491176.5625,-31119.390625,491026.25,491143.84375,490926.65625,-147699.265625,0
12.0,-164720.296875,508507.875,509008.375,37519.34375,508853.21875,508969.21875,508760.9375,-149040.234375,0
13.0,-160496.953125,511956.0625,512456.0,44784.57421875,512298.96875,512414.96875,512209.78125,-144378.34375,0
15.0,-162421.765625,488111.21875,488609.5,-42363.27734375,488459.5625,488577.4375,488359.0625,-146328.1875,0
17.0,-161853.203125,513813.875,514313.96875,53532.9375,514157.0625,514273.0625,514068.5,-145904.859375,0
19.0,-161026.546875,487400.90625,487898.71875,-46770.953125,487748.84375,487867.1875,487649.125,-144810.390625,0
20.0,-164909.65625,498516.5625,499016.0,167.5039520263672,498863.375,498980.8125,498767.15625,-149186.75,0
21.0,-163132.953125,513600.59375,514100.0,54441.3984375,513943.78125,514060.125,513854.375,-147335.546875,0
22.0,-158451.625,504855.5,505354.1875,15867.8818359375,505198.84375,505315.5625,505107.09375,-142116.234375,0
24.0,-164311.59375,493666.46875,494165.21875,-18913.126953125,494014.34375,494132.09375,493916.0625,-148476.03125,0
25.0,-164159.5,511351.46875,511851.375,47394.23046875,511696.0,511812.40625,511605.03125,-148453.09375,0
26.0,-159470.40625,509396.28125,509895.71875,33987.41015625,509739.40625,509856.0,509648.75,-143253.09375,0
29.0,-164768.375,507441.6875,507942.1875,33641.5390625,507787.4375,507903.84375,507694.4375,-149116.140625,0
31.0,-157924.046875,495956.46875,496454.8125,-18032.9609375,496301.9375,496419.5,496206.375,-141505.4375,0
1.0,-164983.953125,502477.9375,502978.15625,15269.681640625,502824.59375,502941.21875,502729.84375,-149308.453125,0
2.0,-162140.671875,513961.46875,514461.15625,54462.25390625,514304.1875,514420.25,514216.15625,-146235.640625,0
3.0,-157971.453125,501007.6875,501506.4375,926.5020751953125,501351.59375,501469.40625,501258.875,-141580.671875,0
4.0,-160601.28125,487560.03125,488057.21875,-46598.48828125,487907.84375,488026.125,487807.9375,-144359.375,0
5.0,-164745.03125,497272.375,497772.1875,-4723.70556640625,497620.03125,497736.9375,497523.5625,-149005.890625,0
7.0,-158605.390625,506064.1875,506562.53125,20521.447265625,506407.4375,506524.78125,506316.25,-142306.671875,0
8.0,-159289.28125,489239.09375,489735.75,-41864.7890625,489585.6875,489704.375,489487.0625,-142943.09375,0
9.0,-164071.59375,492623.4375,493122.1875,-23226.388671875,492971.5,493089.0625,492873.21875,-148213.640625,0
10.0,-164284.90625,510526.96875,511026.46875,44581.0625,510871.5625,510987.15625,510780.03125,-148608.390625,0
11.0,-159710.53125,510328.875,510827.59375,37853.078125,510671.53125,510787.53125,510581.625,-143548.9375,0
13.0,-163016.078125,489217.28125,489715.71875,-37488.69921875,489565.09375,489683.375,489465.78125,-147017.375,0
14.0,-164851.1875,506277.21875,506777.375,29314.734375,506622.40625,506738.625,506529.53125,-149201.828125,0
